"Experimental Data, Sydney Piloted Jet Flame",,,
"Arbitrary Location: x/D_J = 10, r/D_J = 0.6",,,
N_Samples = 500,,,
,,,
ZMIX,TEMP,Y_CO2,Y_CO
0.1333,993.86,0.037759,0.029965
0.13407,858.17,0.032334,0.021671
0.095822,1517.6,0.087547,0.041516
0.079572,1667.4,0.085245,0.057939
0.14806,893.04,0.036536,0.024318
0.097397,1386.6,0.07322,0.042699
0.11324,1282.2,0.062411,0.038979
0.12342,1020.1,0.042832,0.029421
0.16521,761.66,0.029139,0.018537
0.13488,401.05,0.0020087,0.0034835
0.091692,1563.2,0.075786,0.054077
0.076546,1891.6,0.10378,0.055723
0.091797,1543.2,0.081545,0.048467
0.078718,1508.3,0.069767,0.054803
0.13139,1071.5,0.047392,0.032138
0.11446,1227.4,0.055859,0.038082
0.10052,832.36,0.022948,0.021495
0.12705,1010.9,0.041872,0.02736
0.078881,1825.7,0.098545,0.064025
0.10735,1190.6,0.048404,0.040571
0.095447,1509.3,0.075904,0.05363
0.1183,982.41,0.035651,0.027504
0.11446,1229.8,0.058082,0.041752
0.091951,1476.7,0.077737,0.043906
0.086542,1685,0.10015,0.049752
0.11395,576.43,0.010727,0.0090914
0.092227,1520.1,0.083767,0.051609
0.093859,1536.2,0.074193,0.050668
0.26545,457.56,0.0088779,0.0056886
0.084897,1685.6,0.095652,0.048877
0.093815,1648.1,0.087471,0.064818
0.12329,1260.9,0.061035,0.042567
0.14634,935.33,0.035103,0.028955
0.070409,1981.1,0.10713,0.063949
0.086709,1525.6,0.06971,0.047634
0.15148,1178.5,0.059694,0.042978
0.10834,1028.8,0.03709,0.028662
0.10374,1173.7,0.051543,0.037086
0.15036,709.91,0.027244,0.01555
0.12493,851.3,0.025181,0.023504
0.13766,952.2,0.038519,0.027908
0.1556,521.96,0.010309,0.011486
0.13168,963.31,0.041393,0.029139
0.13915,1157.1,0.053677,0.037252
0.07535,1908.5,0.097131,0.053672
0.079347,1897,0.098134,0.0696
0.089925,1629.7,0.078933,0.065013
0.15302,824.44,0.028157,0.021484
0.093823,1517.6,0.075179,0.04954
0.1159,785.04,0.020874,0.020332
0.1391,907.15,0.036153,0.024956
0.096768,1211.7,0.054608,0.035275
0.087165,1536.4,0.077992,0.048644
0.10289,1381.2,0.062901,0.046109
0.20034,574.56,0.01656,0.010987
0.10208,1407.4,0.071296,0.04978
0.13053,976.31,0.047625,0.029
0.15941,671.56,0.020825,0.013779
0.14458,797.63,0.024169,0.019434
0.20715,468.89,0.0080958,0.0073797
0.095871,1529.5,0.083983,0.049097
0.18391,437.46,0.0075982,0.0047739
0.094482,1168,0.051899,0.029935
0.12459,1018.2,0.045201,0.028302
0.077717,1770.5,0.083886,0.054517
0.12921,827.1,0.028111,0.02051
0.12836,1035.9,0.042011,0.032151
0.086347,1599.2,0.073159,0.052873
0.16254,556.66,0.01312,0.012731
0.078976,1838.5,0.094147,0.070272
0.10785,544.53,0.008366,0.0084466
0.1773,815.33,0.034384,0.024828
0.11983,1299.3,0.055673,0.044011
0.20603,485.78,0.0097857,0.0076083
0.11349,1199.1,0.055932,0.033538
0.071873,1746.8,0.08475,0.060376
0.1219,1149.9,0.056774,0.029992
0.10097,1293.4,0.063131,0.037859
0.12681,1248.9,0.067694,0.036209
0.0753,1736,0.086393,0.056778
0.097667,1497.7,0.074815,0.058318
0.087289,1614.3,0.085036,0.045654
0.11835,1217.1,0.054095,0.051287
0.080349,1696.3,0.085904,0.053173
0.095776,1555.1,0.07688,0.059078
0.15555,891.54,0.033281,0.026013
0.091198,1649.9,0.082594,0.066338
0.10939,1248.1,0.060096,0.040062
0.22416,625.11,0.017065,0.012105
0.19733,463.86,0.0097907,0.0071949
0.076532,1851.2,0.098695,0.048582
0.072613,1982.3,0.10181,0.073091
0.10278,1367.8,0.066521,0.036326
0.10007,1410.6,0.076239,0.047643
